Chr	width	gene_id	gene_name	gene_biotype	type	GENEID
1	56010	ENSSSCG00000028996	ALDH1A1	protein_coding	gene	ENSSSCG00000028996
1	17974	ENSSSCG00000005267	ANXA1	protein_coding	gene	ENSSSCG00000005267
1	198024	ENSSSCG00000005268	RORB	protein_coding	gene	ENSSSCG00000005268
1	152106	ENSSSCG00000005269	TRPM6	protein_coding	gene	ENSSSCG00000005269
1	11018	ENSSSCG00000031382	C9orf40	protein_coding	gene	ENSSSCG00000031382
1	37349	ENSSSCG00000005271	CARNMT1	protein_coding	gene	ENSSSCG00000005271
1	28564	ENSSSCG00000005272	NMRK1	protein_coding	gene	ENSSSCG00000005272
1	54995	ENSSSCG00000005273	OSTF1	protein_coding	gene	ENSSSCG00000005273
1	2911	ENSSSCG00000045514	ENSSSCG00000045514	protein_coding	gene	ENSSSCG00000045514
1	454312	ENSSSCG00000023520	PCSK5	protein_coding	gene	ENSSSCG00000023520
1	747	ENSSSCG00000057774	ENSSSCG00000057774	protein_coding	gene	ENSSSCG00000057774
1	7984	ENSSSCG00000037277	RFK	protein_coding	gene	ENSSSCG00000037277
1	39203	ENSSSCG00000005277	GCNT1	protein_coding	gene	ENSSSCG00000005277
1	84734	ENSSSCG00000039009	ENSSSCG00000039009	protein_coding	gene	ENSSSCG00000039009
1	25773	ENSSSCG00000060679	ENSSSCG00000060679	protein_coding	gene	ENSSSCG00000060679
1	1221	ENSSSCG00000005279	ENSSSCG00000005279	protein_coding	gene	ENSSSCG00000005279
1	261833	ENSSSCG00000005282	VPS13A	protein_coding	gene	ENSSSCG00000005282
1	621719	ENSSSCG00000004361	GRIK2	protein_coding	gene	ENSSSCG00000004361
1	114395	ENSSSCG00000004349	COQ3	protein_coding	gene	ENSSSCG00000004349
1	109353	ENSSSCG00000004272	LMBRD1	protein_coding	gene	ENSSSCG00000004272
1	30486	ENSSSCG00000037594	PNISR	protein_coding	gene	ENSSSCG00000037594
1	354905	ENSSSCG00000044472	COL19A1	protein_coding	gene	ENSSSCG00000044472
1	327	ENSSSCG00000004261	ENSSSCG00000004261	protein_coding	gene	ENSSSCG00000004261
1	840	ENSSSCG00000050732	ENSSSCG00000050732	protein_coding	gene	ENSSSCG00000050732
1	67130	ENSSSCG00000004351	USP45	protein_coding	gene	ENSSSCG00000004351
1	38451	ENSSSCG00000004262	KPNA5	protein_coding	gene	ENSSSCG00000004262
1	7864	ENSSSCG00000038757	ENSSSCG00000038757	protein_coding	gene	ENSSSCG00000038757
1	27407	ENSSSCG00000004353	CCNC	protein_coding	gene	ENSSSCG00000004353
1	204179	ENSSSCG00000005284	GNA14	protein_coding	gene	ENSSSCG00000005284
1	2343	ENSSSCG00000050902	ENSSSCG00000050902	protein_coding	gene	ENSSSCG00000050902
1	21195	ENSSSCG00000004263	ZUP1	protein_coding	gene	ENSSSCG00000004263
1	42606	ENSSSCG00000021802	ABHD17B	protein_coding	gene	ENSSSCG00000021802
1	69959	ENSSSCG00000031105	C9orf85	protein_coding	gene	ENSSSCG00000031105
1	7548	ENSSSCG00000004354	PRDM13	protein_coding	gene	ENSSSCG00000004354
1	768	ENSSSCG00000004355	ENSSSCG00000004355	protein_coding	gene	ENSSSCG00000004355
1	186690	ENSSSCG00000034919	GDA	protein_coding	gene	ENSSSCG00000034919
1	21317	ENSSSCG00000023834	RSPH4A	protein_coding	gene	ENSSSCG00000023834
1	15876	ENSSSCG00000032533	ENSSSCG00000032533	protein_coding	gene	ENSSSCG00000032533
1	794	ENSSSCG00000031854	ENSSSCG00000031854	protein_coding	gene	ENSSSCG00000031854
1	9822	ENSSSCG00000025941	PTP4A1	protein_coding	gene	ENSSSCG00000025941
1	39677	ENSSSCG00000004356	MCHR2	protein_coding	gene	ENSSSCG00000004356
1	11166	ENSSSCG00000030268	ZFAND5	protein_coding	gene	ENSSSCG00000030268
1	228515	ENSSSCG00000027002	KLHL32	protein_coding	gene	ENSSSCG00000027002
1	1136	ENSSSCG00000004243	ENSSSCG00000004243	protein_coding	gene	ENSSSCG00000004243
1	180361	ENSSSCG00000005266	TMC1	protein_coding	gene	ENSSSCG00000005266
1	26819	ENSSSCG00000004246	ENSSSCG00000004246	protein_coding	gene	ENSSSCG00000004246
1	14499	ENSSSCG00000004247	ASF1A	protein_coding	gene	ENSSSCG00000004247
